,Q2,x,z,pt
286,2.22,0.26,0.35,0.05
287,2.22,0.26,0.35,0.15000000000000002
288,2.22,0.26,0.35,0.25000000000000006
289,2.22,0.26,0.35,0.35000000000000003
290,2.22,0.26,0.35,0.45000000000000007
291,2.22,0.26,0.35,0.5500000000000002
292,2.22,0.26,0.35,0.6500000000000001
293,2.22,0.26,0.35,0.7500000000000002
294,2.22,0.26,0.35,0.8500000000000002
295,2.22,0.26,0.35,0.9500000000000002
296,2.22,0.26,0.35,1.0500000000000003
297,2.22,0.26,0.45000000000000007,0.05
298,2.22,0.26,0.45000000000000007,0.15000000000000002
299,2.22,0.26,0.45000000000000007,0.25000000000000006
300,2.22,0.26,0.45000000000000007,0.35000000000000003
301,2.22,0.26,0.45000000000000007,0.45000000000000007
302,2.22,0.26,0.45000000000000007,0.5500000000000002
303,2.22,0.26,0.45000000000000007,0.6500000000000001
304,2.22,0.26,0.45000000000000007,0.7500000000000002
305,2.22,0.26,0.45000000000000007,0.8500000000000002
306,2.22,0.26,0.45000000000000007,0.9500000000000002
307,2.22,0.26,0.45000000000000007,1.0500000000000003
308,2.22,0.26,0.55,0.05
309,2.22,0.26,0.55,0.15000000000000002
310,2.22,0.26,0.55,0.25000000000000006
311,2.22,0.26,0.55,0.35000000000000003
312,2.22,0.26,0.55,0.45000000000000007
313,2.22,0.26,0.55,0.5500000000000002
314,2.22,0.26,0.55,0.6500000000000001
315,2.22,0.26,0.55,0.7500000000000002
316,2.22,0.26,0.55,0.8500000000000002
317,2.22,0.26,0.55,0.9500000000000002
318,2.22,0.26,0.55,1.0500000000000003
319,2.22,0.26,0.65,0.05
320,2.22,0.26,0.65,0.15000000000000002
321,2.22,0.26,0.65,0.25000000000000006
322,2.22,0.26,0.65,0.35000000000000003
323,2.22,0.26,0.65,0.45000000000000007
324,2.22,0.26,0.65,0.5500000000000002
325,2.22,0.26,0.65,0.6500000000000001
326,2.22,0.26,0.65,0.7500000000000002
327,2.22,0.26,0.65,0.8500000000000002
328,2.22,0.26,0.65,0.9500000000000002
329,2.22,0.26,0.65,1.0500000000000003
330,2.22,0.26,0.7500000000000001,0.05
331,2.22,0.26,0.7500000000000001,0.15000000000000002
332,2.22,0.26,0.7500000000000001,0.25000000000000006
333,2.22,0.26,0.7500000000000001,0.35000000000000003
334,2.22,0.26,0.7500000000000001,0.45000000000000007
335,2.22,0.26,0.7500000000000001,0.5500000000000002
336,2.22,0.26,0.7500000000000001,0.6500000000000001
337,2.22,0.26,0.7500000000000001,0.7500000000000002
338,2.22,0.26,0.7500000000000001,0.8500000000000002
339,2.22,0.26,0.7500000000000001,0.9500000000000002
340,2.22,0.26,0.7500000000000001,1.0500000000000003
341,2.22,0.26,0.8500000000000001,0.05
342,2.22,0.26,0.8500000000000001,0.15000000000000002
343,2.22,0.26,0.8500000000000001,0.25000000000000006
344,2.22,0.26,0.8500000000000001,0.35000000000000003
345,2.22,0.26,0.8500000000000001,0.45000000000000007
346,2.22,0.26,0.8500000000000001,0.5500000000000002
347,2.22,0.26,0.8500000000000001,0.6500000000000001
348,2.22,0.26,0.8500000000000001,0.7500000000000002
349,2.22,0.26,0.8500000000000001,0.8500000000000002
350,2.22,0.26,0.8500000000000001,0.9500000000000002
351,2.22,0.26,0.8500000000000001,1.0500000000000003
352,2.73,0.2,0.15,0.05
353,2.73,0.2,0.15,0.15000000000000002
354,2.73,0.2,0.15,0.25000000000000006
355,2.73,0.2,0.15,0.35000000000000003
356,2.73,0.2,0.15,0.45000000000000007
357,2.73,0.2,0.15,0.5500000000000002
358,2.73,0.2,0.15,0.6500000000000001
359,2.73,0.2,0.15,0.7500000000000002
360,2.73,0.2,0.15,0.8500000000000002
361,2.73,0.2,0.15,0.9500000000000002
362,2.73,0.2,0.15,1.0500000000000003
363,2.73,0.2,0.25,0.05
364,2.73,0.2,0.25,0.15000000000000002
365,2.73,0.2,0.25,0.25000000000000006
366,2.73,0.2,0.25,0.35000000000000003
367,2.73,0.2,0.25,0.45000000000000007
368,2.73,0.2,0.25,0.5500000000000002
369,2.73,0.2,0.25,0.6500000000000001
370,2.73,0.2,0.25,0.7500000000000002
371,2.73,0.2,0.25,0.8500000000000002
372,2.73,0.2,0.25,0.9500000000000002
373,2.73,0.2,0.25,1.0500000000000003
374,2.73,0.2,0.35,0.05
375,2.73,0.2,0.35,0.15000000000000002
376,2.73,0.2,0.35,0.25000000000000006
377,2.73,0.2,0.35,0.35000000000000003
378,2.73,0.2,0.35,0.45000000000000007
379,2.73,0.2,0.35,0.5500000000000002
380,2.73,0.2,0.35,0.6500000000000001
381,2.73,0.2,0.35,0.7500000000000002
382,2.73,0.2,0.35,0.8500000000000002
383,2.73,0.2,0.35,0.9500000000000002
384,2.73,0.2,0.35,1.0500000000000003
385,2.73,0.2,0.45000000000000007,0.05
386,2.73,0.2,0.45000000000000007,0.15000000000000002
387,2.73,0.2,0.45000000000000007,0.25000000000000006
388,2.73,0.2,0.45000000000000007,0.35000000000000003
389,2.73,0.2,0.45000000000000007,0.45000000000000007
390,2.73,0.2,0.45000000000000007,0.5500000000000002
391,2.73,0.2,0.45000000000000007,0.6500000000000001
392,2.73,0.2,0.45000000000000007,0.7500000000000002
393,2.73,0.2,0.45000000000000007,0.8500000000000002
394,2.73,0.2,0.45000000000000007,0.9500000000000002
395,2.73,0.2,0.45000000000000007,1.0500000000000003
396,2.73,0.2,0.55,0.05
397,2.73,0.2,0.55,0.15000000000000002
398,2.73,0.2,0.55,0.25000000000000006
399,2.73,0.2,0.55,0.35000000000000003
400,2.73,0.2,0.55,0.45000000000000007
401,2.73,0.2,0.55,0.5500000000000002
